rowno,review,type
498,"the plot of this movie revolves around this submarine builder who's a real bastard and he wants to launch his new sub that can travel thousands of feet deep. unfortunately, he can't. oh yeah, and he's haunted by the memories of his mom and dad getting eaten by a megalodon when he was a child. the guy meets some scientist whos pretty hot, and they and this crew of about a hundred people set out on the main character's submarine to kill the same megalodon that killed his parents.now, the shark in this movie is a really fake looking CGI shark. basically this is sorta like Shark Attack 3, except more depressing. if you don't get what i mean, listen. the film's opening credits show ""home movies"" of the main character when he was a child with his parents before they got killed, and there's really sad and depressing piano music playing in the background. you would expect to see a shark or something, and you do. a brief shadow of the CGI shark floats around every few seconds but that's just it. also, i don't remember one happy facial expression at all throughout the film's entire runtime, a majority of the film takes place in the dark depths of the abyss, where the story gets even more dull, and all the characters (the shark too) die in the end. I was thinking Sabato would manage to kill the shark and manage to save himself and the girl, but no, they all die, and the film ends with the shark, all blown up, and the submarine (with Sabato's crushed and burned body in it) sinking into the abyss. if you're a happy person and you don't enjoy being depressed, then avoid this movie. if you're the opposite, then congratulations, you found your movie.",neg
13018,"I just watched this film this morning and I found it to be a great showing of the richness of faith. Babette gave them another way to look at life; not a replacement, but an enhancement. She shared all that she had with those who gave what little they had to her. I see the story of God in here. He sent his only son to man. Man could not possibly give anything that would equal that. So, for our small sacrifice, we are given an ultimate treasure and are transformed because of it. In this film the bickering townspeople have so consumed themselves with a small interpretation of God. Babette showed them that life and God can indeed be beautiful in it's fullest sense. The love that God's son showed to man is the love we should show to one another and our lives will be the richer for it. Even the film is a metaphor. It seems slow in the beginning, but the investment of time and attention to detail is rewarded in the end. It was truly a feast.",pos
13019,"I don't know whether this film hits my heart the way it does because of the feelings of friendship, love, closeness to others or the warmth of that transformation Babette's cooking creates, but when the feast starts and for the rest of the movie, I choke up often. <br /><br />Yes, this is a feel-good movie, but without a speck of mawkishness or facile sentimentality. Please note that elements of the plot are discussed. Babette's Feast tells its story with restraint and care, and it lets us discover for ourselves the values of grace and love. All we need to know is that Babette Harsant (Stephane Audran) was a French refugee who was given shelter by two aging sisters in a tiny community on the coast of Jutland. The sisters lead what remains of their father's flock. He was a pastor of conviction who taught that salvation comes through self-denial. The sisters made their sacrifices to duty and faith. Those who still remain honor the now long dead pastor's teachings and his spiritual guidance. Still, as they have grown older the tiny community has become querulous and argumentative. The sisters do what they can. For the pastor's 100th birthday, Babette wishes to cook the dinner for the small group the sisters will invite. The sisters reluctantly agree, but when they see the supplies Babette has ordered, they and their guests become uneasy. They are used to the community's usual fare of dried cod, boiled, and a soup made of bread, water and a little ale. Even though Babette over time has made improvements, what they are seeing now seems close to godlessness. At the dinner also will be a visitor, General Lorens Lowenhielm, who years earlier had chosen ambition over his love for one of the sisters. <br /><br />What do we experience? There is the austerity of the aging community's faith and the stone, wind-swept cottages they live in. There is the warmth by candlelight of the sisters' small, crowded dining room. And then there is the transforming power of Babette's artistry as we watch her cook, watch Erik, a young boy helping her, serve and pour, and watch the old parishioners, with the help of fine wine and exquisite cooking, gradually rediscover their community and love and friendship. The General serves as our unexpected guide because he is the only one who knows what extraordinary dishes they are eating. The General tells a story to his uncomprehending dinner companions, a story about a famed woman who was the exemplary chef at the famed Café Anglais in Paris. ""...this woman, this head chef, had the ability to transform a dinner into a kind of love affair...a love affair that made no distinction between bodily appetite and spiritual appetite."" He, too, is being transformed into a man who will accept what he has become and yet will always know the value and the love of what long ago he chose not to accept. An old couple kiss. Two old men remember past friendships. And Babette, who spent all that she had won in a lottery on this dinner, has had an opportunity to be the artist she once was in France, an opportunity she accepted with love and friendship. <br /><br />Babette, now as poor as she was when she arrived penniless years earlier, will continue with the sisters. The general in a carriage with his aunt returns to her estate. And the elderly guests leave the sisters' home to return to their own cottages. They pause and look at the clear night sky and the stars overhead. They spontaneously hold hands in a circle and dance and sing this hymn... <br /><br />""The clock strikes and time goes by Eternity is nigh. Let us use this time to try To serve the Lord with heart and mind. So that our true home we shall find. So that our true home we shall find."" <br /><br />They smile at each other. All has been reconciled. <br /><br />Babette's Feast is a wonderful movie, full of restrained emotion, unspoken understandings, wisdom...and, of course, a meal that will leave you with a growling stomach as you exit the theater. If you win a lottery so you could afford what Babette created and have her skill and artistry, here's what she served: <br /><br />Potage a la Tortue (a rich turtle soup), served with amontillado sherry Blinis Demidoff au Caviar (small buckwheat pancakes with sour cream and caviar), served with Veuve Clicquot champagne Cailles en Sarcophage with Sauce Perigourdine (boned quail stuffed with foie gras and truffle in puff pastry with truffle sauce enriched with Madeira), served with Clos de Vougeot, a fine burgundy Salade Cheese and fresh fruit Baba au Rhum with glacee fruit and fresh figs Coffee and a fine brandy",pos
13020,"Food always makes a good topic in movies, as ""Chocolat"" showed. ""Babette's Feast"" is the same type of thing. Babette Harsant (Stephane Audran) is a French cook who flees her native land after the repression of 1871. She moves to a very religious Danish village. The people in this village simply have no use for joy. That is, until Babette cooks them one of her exquisite meals.<br /><br />It's not just that this movie deals with bringing fun to a place that has never known it. Like other Scandinavian movies (and non-Hollywood movies in general), it shows that a movie can hold your interest without the use of explosions, car chases, etc. This is one movie that you can't afford to miss.<br /><br />One more thing. Do you think that the Danish word for ""feast"" sounds a little bit like ""tastebud""?",pos
13021,"I've discovered this movie accidentally and it was really a nice surprise. A Christmas Classic,it's also one of the fine comedies of the 40s. The story line is simple : Elisabeth Lane (Barbara Stanwyck) makes out her living by writing culinary columns for a magazine. At Christmas time, her boss, Alexander Yardley (Sydney Greenstreet) asks her to invite a young weakened sailor in the Connecticut farm she write about. The only problem is : She hasn't got any farm and she can't cook. To get out of the jam, Elisabeth agrees to marry a wealthy friend (Reginald Gardiner,who has a farm) and flies for Connecticut with her wonderful cook Uncle Felix. <br /><br />There's a fine direction by Peter Godfrey and the cast is really wonderful : Stanwyck has never been better as this witty and yet romantic woman. Greenstreet, Gardiner and Sakall make hilarious and human supporting characters. The only weak point is the leading man, Dennis Morgan. He starts well but as the movie goes on, becomes really a bore. One almost feels sorry for Elisabeht Lane to ends up with him rather than with Gary Cooper or David Niven who both would have been more suitable for the part. Anyway, this is a joyful Christmas time movie with a refreshing score and I advice it to everyone who likes to spend funny and sweet Holidays...in Connecticut.",pos
13022,"In all this dogma fuzz, please note that this is the Danish masterpiece of the 20th century. The humour, the fate, the sorrow is so clean - so simple - so touching.<br /><br />This movie is a masterpiece. Go see it. There's nothing more to say.",pos
13023,"The French Babbette appears at the modest house of two Danish sisters wet, cold, and alone. Fleeing revolution in Paris, she seeks refuge in an obscure religious community on the windswept Jutland coast.<br /><br />Unbeknownst to those who so generously take her in, she is a great chef, an artist of food. Babette gives herself to her adopted community through thrift, productivity, and shared faith. She leaves only when she wins the French lottery--10,000 francs. She returns laden with exotic cargo, the makings of a single meal commemorating the birthday of the sister's father, the community's founder.<br /><br />This meal looms darkly in the minds of the pleasure-denying faithful but its subtleties are translated by an aging military officer who, as a young man in Paris, learned to appreciate the sensory experience unfolding here. The meal is the film's climax, a communion of love in the transitory artistry of food--unaffectedly uplifting about art, love, and the meaning of life.",pos
13024,"Yes, you can look at Babette's Feast as some sort of slap at Puritanical Christianity, but it is much more than that. The surface story of how a gifted Parisian cook flees Paris after one of its revolutions by the middle classes and finds herself cast ashore in Jutland in the north of Denmark is simply the grease that allows the deeper tale to develop.<br /><br />Babette is an artist, one of the small army of people who are driven from pillar to post over the centuries by fatuous politicians, vane, greedy and arrogant, who kill beauty for profit, something that politics always does, pace National Endowment for the Arts, which simply institutionalizes creativity for propaganda purposes.<br /><br />Babette is on her last legs as she arrives in the tiny village where two virginal sisters reside seeing over their diminishing flock of devotees to their late pastor father. They live on salt cod and black bread gruel. <br /><br />Babette shows these simple pious people that God is in pleasure and sensuality as well as behavioral and mental purity. She also shows them how that mental purity can lead to control freakishness, something we all know about in these days of the neo-authoritarians in government who would limit our personal freedoms because they are somehow a crime against the state, or as they would tell us, humanity.<br /><br />Babette cooks up a bang-up French dinner to celebrate the 100th birthday of the late reverend. The daughters and their flock think it is the devil come amongst them and vow not to notice the food or drink. <br /><br />It is at this point, in the preparing of the meal, payed for by Babette's winnings in a French lottery, that I begin to tear-up. It is a poignance brought about in comparison to the daily vulgarity and mendacity that floods our consciousness from morning to night via the media and power-mongers manoeuvring to gain advantage over all of us out here in the dark.<br /><br />The simple sophistication of Babette's art spits in the face of all the pretentiousness on display in our modern society, and it hurts to watch it played out so exquisitely in this splendid film.<br /><br />It is, along with Fanny och Alexander (Bergman), my favorite film ever, yet I can only watch it once in awhile because, like a rare bottle of wine served with Blinis and fresh oysters, it is something that must not be over-done. <br /><br />A great, great film that should be in every movie-lover's library.",pos
13025,"I can think of no movie that better captures the concept of grace, in a theological sense. The well-intentioned religiosity of a small congregation, gone awry after the death of their leader, robs from them the very thing they preach: grace. The costly gift of a humbled Parisian culinary genius returns them to their calling to love one another, and humbles an aging general concerned that he's wasted his life. CHOICES is a central theme, as well as grace. At the same time, artistic gifting is recognized as having a powerful, transcendent role to play in everyday life, and the life to come. Impossible to improve or ignore. This is a life-changing film for those who hear its message.",pos
13026,"A gentle story, hinting at fury, with a redemptive message and glorious celebration. The photography is wondrously well executed. Cinematographers look at this kind of film to hone their craft not just for what the eye can do to enhance a story, but what the right camera vocabulary can do to heighten an emotion. Feeding the soul is by definition what this movie addresses, but with an elegance and grace of delivery that simply doesn't not happen much anymore, at least with this degree of taste, restraint and finesse. If you care about story and character development, this is a also a great movie to see as an example of what simple lines and the right delivery can do to completely fill out a character's impression. Match all this with a film score that is almost minimalist in character and also perfectly conceived, and you'll ""get"" this movie.",pos
13027,"Some have commented on the subtitles not being a problem in this film - I beg to differ - the nuisances in the facial expressions and subtle interactions between the characters is such that you can not afford to take your eyes away for even a fraction of a second. I tried to watch, on the DVD, in English to overcome this problem (don't make this mistake the result is a travesty). The only way to get the full benefit is to watch it two or three times in quick succession so you know it and then ignore the subtitles. An acting master class - not in the dialogue but body language.<br /><br />It is the little things - the postmaster/shop keeper puffs out his chest and goes in to get his cap before delivering a letter from !France!. The General's bemused expression as his delight in a bunch of perfect grapes elicits a biblical reference with a profundity worthy of 'Being There'.<br /><br />The cinematography is awesome and the bleak minimalist village with its washed out colour just accentuates the sumptuousness of the feast when it comes. I have a friend who claims to be descended from the Borgias and who's family motto is 'If it is worth doing, it is worth doing to excess' - Amen.<br /><br />I laugh out loud and cry each time I watch this film",pos
13028,"This film says everything there is to say about religion - I wish it were required viewing for all bigots and would-be clericals.<br /><br />The story, set in a turn-of-the-century Danish villages is about two very religious sisters whose late father was a rigid priest who discouraged all their dreams of love and exploring the world and its many beauty. They are now old and their life and beauty spent. Their quiet new help - whom they ""teach"" to cook - is Babette (played by the lovely Stephane Audran who graced so many of her husband Claude Chabrol's films). The life in the village is simple and the stark direction reflects that.<br /><br />When Babette wins the lottery, she requests a chance to prepare a feast - a true labour of love. The course of the feast and its Chief Guest reveal messages of love and spirituality and how there are many ways to love God and life.<br /><br />This is a must-see for the devotion with which Babette prepares the feast and for the speech the General gives at the end. Possibly the best international film of the 1980's.",pos
13029,"This movie is almost unknown, but it is very good. In a lonely Danish town, two old sisters live remembering a far youths, when, due to a strict puritan education, they had to reject happiness. Lonely, then, the live in a dignified austerity, until Babette, who flies from Paris, frightened by the horror of the war, arrives. In few time, she will be able to turn the goodness and love she received when she arrived. A good lottery prize lets her organize a great banquet, following the best rules of French gastronomy. All neighbourhoods are invited (all fanatically puritans). They accept, but they pact to not show any trace of pleasure or enjoyment, as it would be a sin. However, the seductive force of the delicious meal they eat, that they become seduced by the sensuality of French gastronomy. The banquet end in a very felt, though quietly, happiness. The love between humans has awaken. The miracle of rise the human kindness due to the pleasure of the sense has begun. The movie is surprisingly good, but it is not for all tastes. During most of the movie, nothing happens, all is so quiet and so peaceful, that during many minutes, you can only see the life of the inhabitants of the town. But, as the movie develops, it becomes more precious, when Babette wins the lottery prize (after 30min movie), the show begins. The author is able, with a perfect directing, to show us how Babette prepares the banquet, how she mixes all the ingredients with the most wonderful one (Love), all told in a quiet delicious way, with a perfect knowledge of photography and acting. Then, as the banquet goes by, the quality in showing us how the mood of all eaters changes due to the meal, only with first shots, with impressively filmed scenes one after another is simply astonishing. In addition, the tact with the colours and the photography is also superb, almost every scene of the movie is like a picture, so work is involved there. If you are able to admire good cinema and are able to realize that sometimes the way on telling you something rather than what is told is more important, this is your movie. If you happen to like good meals and just love the good gastronomy, probably, you'll feel amused, as most feelings of the movie will be familiar to you. An Oscar totally deserved. The only problem is its slowness at setting up the story, but, I can forgive it (I hope everyone too)",pos
13030,"If not the best movie ever made, ""Babette's Feast"" is certainly among the most loving. This is a wonderful exploration of the meaning of artistry, generosity, loyalty, and grace. Humor is mixed with tender longing; characters are treated with searching honesty but also deep respect. There are meditations here on memory, fate, old age and faithfulness. Marvellous camera work by cinematographer Henning Kristiansen: seldom have wrinkled faces looked so luminous in the candle-light. The meal is accompanied by delicious period music, Brahms, Mozart and simple folk hymns. Enjoy this feast for the eyes and the spirit, for as the General says: ""Mercy and truth have met together, and righteousness and bliss shall kiss one another.""",pos
13031,"""Babette's Feast"" and ""The Horse's Mouth"" are the two most insightful, accurate films on what it is to be a real artist. The key lines in ""Babette's Feast"" are not, as some other commentators here have said, ""an artist is never poor,"" but two lines that come before and after it:<br /><br />""I was able to make them happy when I gave of my very best. ... Throughout the world sounds one long cry from the heart of the artist: give me the chance to do my very best."" <br /><br />I spent nine years producing experimental multi-media music theater in San Francisco, raising money for productions that involved dozens of singers, actors, designers, etc., and the artists I supported stretched every penny in their effort to do their very best. They were just like Babette: they were desperate to get every dollar necessary to do their very best work. Babette's art is fine French cooking, and for her to perform her art at its very best costs 10,000 francs. When, after years in political exile from France, isolated with two caring spinsters on a bleak Scandinavian coast, she suddenly gets a windfall of 10,000 francs, she does what every real artist would do: she sees that she unexpectedly has the chance to do her very best, and so she does it. She spends all the money so that she can do her very best work as an artist. The twist in the movie is that we don't know she is such an artist, until she is actually cooking and serving the meal. Up until then, she appears to be just a working-class French lady who haggles a bit with the tradesmen, and is very serious (her husband and son were murdered in Paris violence in 1871). <br /><br />To such an artist, it is secondary whether there is an audience for the art that is competent to appreciate it. That is why the author set this dinner in a community of people who could not possibly have any understanding of what they are receiving. Babette did not cook this meal as a gift to the two spinsters, or to the religious community. It was not her goal to achieve a reconciliation or spirit of good feelings among the members of the little religious sect. Indeed, she never once leaves the kitchen to speak to any of them. After the meal, she is sitting alone, sipping some wine, not paying the slightest attention to how the guests reacted. She is basking in the satisfaction of finally having the chance to have done her best as an artist. <br /><br />That is why it is so satisfying, and so important to the story, that the General unexpectedly shows up -- for, as Babette knows instantly, a general will know what she has placed before him, and will appreciate it. For there is a sort of tragedy in a great work of art being shown to an audience that lacks even one person competent to appreciate it. She is glad, very glad, he came, in fact he is the only guest she ever mentions during the entire dinner, the only one she singles out for special treatment -- not either of the spinsters. But she did not plan the meal knowing that such a person would come to receive it. <br /><br />To anyone who has had the chance to enjoy a real first-class Parisian dinner, as I have (my father was Naval Attache to Paris in the 1980s, and I had my honeymoon in France), this dinner, and Babette's satisfaction in making it, and the pleasure it brings to the diners, is absolutely convincing. If any art has the power to suffuse the recipient with a sense of joy, it is a fine French meal cooked and served in France. This movie makes a claim about the transformative effects of great art on the recipients. Before the dinner, the members of the little religious sect are quarrelsome, dredging up old resentments. The old hymns fail to restore good fellowship; people ignore them, talk over them. But the shared experience of sensual great art -- for the people can enjoy the tastes of the foods and wines even if they have no conception that they are experiencing great art -- contents the people, puts them in a forgiving mood, reconciles them, and by making them happy, encourages them to love each other, and thus has a god-like sacred effect of bringing peace. This is the claim found in the modern art movement today -- that art can supplant the traditional religions in making mankind more peaceful. Thus, contrary to those commentators here who say that this film speaks for the power of Christian belief, it is more accurate to say that the film claims that art can heal wounds that Christian ritual cannot. After all my years in the art world, I have to say that this claim -- that art brings peace that religion cannot -- is overblown and invalid. But it is a pretty conceit and it is the second main theme of this beautiful film.<br /><br />One last note: at Babette's arrival at the spinsters' home, a particular French general, Galliffet, is named as the person who in 1871 executed Babette's husband and son, and imposed a military rule that she had to flee. At the end of the film, as the General tells the story of the magnificent meal he enjoyed in Paris many years before (before 1871), at the conclusion of some military maneuvers, it turns out that this same Galliffet was his host at the meal. As the General tells the story, French general Galliffet praised the chef of that meal as the greatest woman, the only woman he would risk his life for. Of course, that woman was Babette. Thus, ironically, the same French general who said he honored Babette above all other women was responsible for driving her away from France forever.",pos
13032,"A magazine columnist who writes about life on her farm house when in fact she lives in a NY apartment must come up with a plan when she learns that her publisher and a war hero will spend Christmas with her. After a slow start, it turns into an entertaining little screwball comedy, thanks to a fine cast. In a big departure from her previous role as a femme fatale in ""Double Indemnity,"" Stanwyck displays a nice comedic flair. Morgan is smooth as the affable war hero while Greenstreet is well cast as the publisher. However, Sakall steals the film as a chef trying to master the English language while speaking with an almost incomprehensible European accent.",pos
13033,"If you find the first 30 minutes of this film to be so slow that you wonder why you're watching it, don't give up. Also, hearing the Danish language is a bit new to most North Americans, who don't see and hear a lot of Danish films. Anyway, as the film progressed it got better and better and the viewer is rewarded for his/her patience.<br /><br />Being a fan of the movie, ""Out Of Africa,"" this film piqued my interest because it's based on a short novel by Isak Dinesen (Karen Blixen), the major character in that film.<br /><br />The meal - Babette's feast - was amazing. I'm no chef, but I was impressed! How one interprets the story, too, varies, I suppose depending on how much you read into this, and where you stand religion-wise. If the latter, how you look at the definition of ""legalism"" can affect how you interpret this story.<br /><br />In any case, it's a fine film, but don't watch this if you're dieting.",pos
13034,"This movie came aside as a shock in the eighties.Far from trends,that is to say in the heart of sincere creativity,Babettes gaestebud stands as one of the finest movies of its time.Stephane Audran,the wonderful actress of her ex-husband Claude Chabrol's greatest achievements (le boucher,la rupture,les noces rouges,all unqualified musts for movie buffs)gave a lifetime performance.To see her prepare with love and affection her meal is a feast for the eyes.All the people who saw this masterpiece actually tasted,ate Babette's culinary triumph. But the most moving part of the story is its conclusion:Babette was a great French chef,she was famous,now she found a new homeland but her heyday is behind her and she won't never be allowed to come back to her dear France.So the two old sisters do comfort her:In heaven,there will be huge kitchens where she cooks for eternity.While sharing her fortune with her new friends,Babette changed their life,she gave them pleasure and a magic evening they would remember forever.In this simple but extraordinary screenplay,human warmth is everywhere,and I wish everybody a Babette's feast,would it be only for one starry night...",pos
13035,"The dead spots and picture-postcard superficiality of ""Out of Africa"" just about buried any interest I might have had to read Isak Dinesen. So when my brother bought me ""Babette's Feast,"" and knowing it was based on a Dinesen story, I didn't exactly race to the VCR. But as the titles rolled, it became clear that this was no ordinary movie. Jutland (where it's set) is not Africa; the chill mist that collects on the camera shots is not inviting. The cold, forbidding sea; the heavy, gray clouds; the pale, icy green cliffs--translate to hardships that show on the faces over which director Gabriel Axel draws the curtain. The craggiest is Bodil Kjer's as Philippa; amid the myriad merits of this movie, the most memorable is that face. It stands like a map laying before us the cherished wonder of her minister father's apostolate; like a maze of long-overlooked fjords where the complications of her congregation's perseverance and commitment hang like gleaming escutcheons.<br /><br />I gather it's Dinesen's point how the world is drawn inexplicably to Christian dedication, when Philippa is rejected by her only serious suitor (because he fears he'll never measure up to the rules and rigors of her small religious clique), and he returns to find her mistress of whom he regards as the greatest chef on the continent. I figure it's also her point that Christ answers the doubts and regrets of those who give up worldly success (Philippa's sister Martina rebuffs efforts by a visiting baritone (Jean-Philippe Lafont whose jolliness creates an uplifting counterpoint to the sparsity of spirit that surrounds his discovery) to turn her into an opera star; the title character leaves France and an enviable reputation and seeks sanctuary as the servant of two spinster sisters) to pursue artistic triumphs for only God and those closest to Him to witness. But it's Axel who weaves the asperity of these people's lives with the richness of Martina's voice and Babette Hersant's table and effects a sumptuousness you'd never expect from a movie about sacrifice, faith, and religious conviction.<br /><br />What sets this movie apart from other religious movies is its sly humor. ""Babette's Feast,"" that is, the banquet itself--a posthumous commemoration of the minister's 100th birthday--is a beautifully orchestrated clash of sensibilities that delivers comic moments by an ensemble of actors that are unparalleled in their subtlety. It's just this deft comedy that enriches the solemn sentiments at closing. Together they do something pious movies seldom do. They leave a believer tremulously hopeful and unexpectedly resolute and humbled.",pos
13036,"Stephane Audran is the eponymous heroine of this beautifully measured study of a small Danish community towards the end of the last century. Two beautiful and musically talented sisters give-up their own prospects of happiness and marriage in order to look-after their ageing father. One day, a French woman, Babette, comes to work for them. After some years she wins the lottery and is determined to do something for the sisters who have taken her in. Her solution is to prepare an exquisite and sumptuous feast, which changes the lives of all those invited. This is a film about human and cultural interaction, reflected in the changing language of the dialogue from Danish to French, and especially between the dutiful sobriety of Protestant northern Europe and the sensuousness of the Catholic south. It is also about human needs, and how warmth and kindness can be expressed and stimulated through the cultivation of the senses. A profoundly uplifting film.",pos
13037,"Sublime--perfect--profound--a true lesson on the idealized meaning of life. We get completely caught up in the life journeys of Martina and Phillipa and<br /><br />Babette. Their yearnings, desires, sacrifices resonant long after the movie has ended. Seeing it years ago--as it was gaining a great deal of notoriety at the audaciousness of its subject matter--half the movie being a single dinner--the audience was ""oohing and aahing"" as some of the courses took their final<br /><br />glorious shape, laughing at the reaction of the diners, as they became totally seduced by the gustatorial pleasures being introduced to them by Babette, and being totally surprised at the turn of events at the end of the film. Subsequently seeing the film years later after my own twists and turns of life, I realized just how profound the film is. On this viewing tears flowed freely. The film's<br /><br />meditation on the passage of time and the way it uses a seemingly simple story to comment on life and love and art and generosity is truly something to<br /><br />cherish.",pos
13038,"Flawlessly directed, written, performed, and filmed, this quiet and unpretentious Danish film is an example of cinema at its best, and if a person exists who can watch BABETTE'S FEAST without being touched at a very fundamental level, they are a person I do not care to know.<br /><br />The story is quite simple. In the 1800s, two elderly maiden ladies (Birgitte Federspiel and Bodil Kjer) reside in remote Jutland, where they have sacrificed their lives, romantic possibilities, and personal happiness in order to continue their long-dead father's religious ministry to the small flock he served. One of the women's youthful admirers sends to them a Frenchwoman, Babette (Stéphane Audran), whose husband and son have been killed in France and who has fled her homeland lest she meet the same fate. Although they do not really require her services, the sisters engage her as maid and cook--and as the years pass her cleverness and tireless efforts on their behalf enables the aging congregation to remain together and the sisters to live in more comfort than they had imagined; indeed, the entire village admires and depends upon her.<br /><br />One day, however, Babette receives a letter: she has won a lottery and is now, by village standards, a wealthy woman. Knowing that her new wealth will mean her return to France, the sisters grant her wish that she be allowed to prepare a truly French meal for them and the members of their tiny congregation. The meal and the evening it is served is indeed a night to remember--but not for reasons that might be expected, for Babette's feast proves to be food for both body and soul, and is ultimately her gift of love to the women who took her in and the villagers who have been so kind to her.<br /><br />The film is extraordinary in every way, meticulous in detail yet not overpowering in its presentation of them. As the film progresses, we come to love the characters in both their simple devotion to God and their all-too-human frailties, and the scenes in which Babette prepares her feast and in which the meal is consumed are powerful, beautiful, and incredibly memorable. There have been several films that have used food as a metaphor for love, but none approach the simple artistry and beauty of BABETTE'S FEAST, which reminds us of all the good things about humanity and which proves food for both body and soul. Highly, highly recommended.<br /><br />Gary F. Taylor, aka GFT, Amazon Reviewer",pos
13039,"Babette's Feast, for me, is about healing: mending the schism between spirit and body in orthodox Christianity. This puritanical community in remote Denmark is missing an adequate appreciation of all of God's gifts in creation. They have taken the dualism of St. Paul to an extreme, and stress the life of the ""spirit,"" not the life of the ""flesh."" Both elderly sisters, in their youth, were frightened by the lure of love and the temptations of life outside their simple village. They, and their parishioners, cling to the narrow biblical interpretation of their former leader, and the sisters' father. The aging congregation has become testy and quarrelsome, and the sisters don't know what to do. Enter Babette, a French stranger, and someone to whom they can show kindness. They have no way of knowing that she will ultimately return their kindness and give fertile soil to their dry, dusty theology. Babette will give everything she has, and in the process, will teach the sisters and their flock about grace, about sacrifice, about how sensual experience (as in the bread and wine of the Eucharist) can change lives, and about why true art moves us so deeply. When they can forgive each other, and themselves, they can focus on God's love that unfolds before them in a concrete way in the present. As a minister, and an artist, I can't recommend a movie more highly. True art and true grace!!",pos
13040,"PRICE OF HONOR aka PRICE OF POWER is an ambitious Western melodrama, light on the action, which seeks to tell an Old West version of the JFK assassination. In 1881, the president travels to Dallas and is shot from a window while parading thru town in his carriage. Corrupt officials have carried out the murder and have a humble slave take the rap. Our hero, the earnest but bland Giuliano Gemma, aims to unravel the conspiracy. An engaging story, audacious for its subject matter, but entertaining despite the paucity of shoot-em-up action. The film is a 7 out of 10, despite the poor presentation of the DVD, which is overly dark with poor sound. Look for a good copy.",pos
13041,"I was unfamiliar with this film, until I saw it included in a list of the Top 20 Spaghetti Westerns I recently came across (following the marathon I made these last few weeks of films from the subgenre); it was auspicious, then, that the film had to turn up almost immediately on late-night Italian TV (for the first time, I'm pretty sure, in a good number of years)! <br /><br />Unfortunately, the cable reception of the channel on which it was broadcast hasn't been great lately: I recorded the film on VHS but I decided not to keep it due to this factor; as it happened, the very next day I watched the film, I found out that it was available on a Region 2 DVD from Italy (featuring an interview with uncredited scriptwriter Ernesto Gastaldi) - and, having been sufficiently impressed, I decided to order it there and then, even if I knew that I wouldn't be getting to the DVD for quite a while as I like to allow some time between one viewing of a film and the next! A brief parenthesis here: when I recently purchased a spate of Spaghetti Westerns on Italian DVD, I opted not to order Sergio Sollima's FACE TO FACE (1967), since I was under the impression that it was a bare-bones affair; however, I've just learned that the disc actually contains an interview with the director (as had been the case with THE BIG GUNDOWN [1966], which I bought). It did seem baffling to me that Sollima wouldn't offer similar contribution to that film's DVD edition when he actually considered FACE TO FACE as his favorite work (as per the director's talent bio included on the Blue Underground Region 1 disc of yet another Sollima Spaghetti Western - RUN, MAN, RUN [1968]); the trouble is that I loved THE BIG GUNDOWN so much that I followed it with a viewing of FACE TO FACE via the recording I owned made off Italian TV! I did order the DVD of that film now - especially since it's still discounted - but as I said with respect to a second look at THE PRICE OF POWER (although I may still check out Sollima's interview when the disc arrives)... <br /><br />O.K., rant over: the film under review is quite an unusual Spaghetti Western and a very interesting, indeed ambitious one at that, being a transposition of the JFK assassination case to an Old West setting! Actually, it's reminiscent of Anthony Mann's terse black-and-white thriller THE TALL TARGET (1951) - which dealt with an assassination attempt on the life of then-U.S. President Abraham Lincoln. It features one of the most popular Italian stars from this subgenre, Giuliano Gemma, in what is perhaps his most impressive Western role (many of his other films tended to have a light-hearted bent). The supporting cast includes at least two other notables: Van Johnson (in one of his few and mainly unremarkable Italian films) as the American President killed in post-Civil War Dallas and Fernando Rey as the head of a conspiracy of Southerners - who not only plots his assassination but also conveniently maneuvers the new acting U.S. leader, Johnson's Vice-President, by means of blackmail! <br /><br />Benito Stefanelli also makes a good impression as a corrupt sheriff who pursues Gemma all through the picture, and with whom he's engaged a couple of times in a 'duel in the dark' - with the guns resting on the floor rather than in their respective holsters and the only light in the room provided by the end of the cowboys' cigars! Also involved is Ray Saunders as Gemma's black sidekick whom the narrative eventually turns into the doomed ""Lee Harvey Oswald"" figure. Stelvio Massi - who later cut his teeth, as director, on a number of poliziotteschi - is behind the film's luminous cinematography; similarly, Luis Enrique Bacalov supplies yet another great ""Euro-Cult"" score - which is different enough from the style of Ennio Morricone as to be equally distinguishable. Valerii's direction here may mot be as imposing as that in other Spaghetti Westerns but he handles the proceedings efficiently enough (the final gunfight is especially nicely done); the film is certainly one of the more underrated entries in the subgenre and, for those so inclined, the novelty of the plot line alone should make it one to look out for...",pos
